Plot,Plot,,
108,7.08,1.035,9.75
123,7.09,1.13,10
138,7.1,1.23,10
154,7.11,1.33,10.25
171,7.12,1.43,10.75
189,7.13,1.535,10.75
207,7.14,1.645,11
226,7.15,1.75,11.25
246,7.16,1.865,11
266,7.17,1.975,11.25
286,7.18,2.085,11.5
307,7.19,2.2,11.25
329,7.2,2.315,11.25
350,7.21,2.425,11.25
373,7.22,2.54,11.25
395,7.23,2.65,11.25
417,7.24,2.765,10.75
440,7.25,2.875,10.75
463,7.26,2.98,10.75
485,7.27,3.09,10.25
508,7.28,3.195,10
530,7.29,3.295,10
553,7.3,3.395,9.75
575,7.31,3.495,9.25
596,7.32,3.59,9
618,7.33,3.68,8.75
639,7.34,3.77,8.5
659,7.35,3.855,8
679,7.36,3.94,7.5
699,7.37,4.015,7.25
718,7.38,4.09,7
736,7.39,4.16,6.5
754,7.4,4.23,6
771,7.41,4.29,5.75
788,7.42,4.35,5.25
803,7.43,4.405,4.75
818,7.44,4.455,4.5
832,7.45,4.5,4
846,7.46,4.545,3.5
858,7.47,4.58,3
870,7.48,4.615,2.5
881,7.49,4.64,2.25
891,7.5,4.665,1.75
900,7.51,4.685,1.25
909,7.52,4.7,0.75
916,7.53,4.71,0.25
923,7.54,4.715,-0.25
928,7.55,4.715,-0.75
933,7.56,4.71,-1
937,7.57,4.7,-1.5
940,7.58,4.69,-2
942,7.59,4.67,-2.25
943,7.6,4.65,-2.75
943,7.61,4.625,-3.25
942,7.62,4.595,-3.5
940,7.63,4.56,-4
938,7.64,4.525,-4.5
934,7.65,4.48,-4.75
930,7.66,4.435,-5.25
925,7.67,4.385,-5.5
919,7.68,4.33,-5.75
912,7.69,4.275,-6.25
905,7.7,4.215,-6.75
896,7.71,4.15,-7
887,7.72,4.08,-7.25
877,7.73,4.01,-7.5
866,7.74,3.935,-7.75
855,7.75,3.86,-8
843,7.76,3.78,-8.25
830,7.77,3.7,-8.5
816,7.78,3.615,-8.75
802,7.79,3.53,-9
787,7.8,3.44,-9
772,7.81,3.35,-9.25
756,7.82,3.26,-9.5
740,7.83,3.165,-9.5
723,7.84,3.07,-9.5
706,7.85,2.975,-9.5
688,7.86,2.88,-9.75
670,7.87,2.785,-9.75
652,7.88,2.685,-9.75
633,7.89,2.59,-9.75
614,7.9,2.49,-9.5
595,7.91,2.395,-9.75
576,7.92,2.3,-9.75
557,7.93,2.2,-9.25
537,7.94,2.105,-9.25
518,7.95,2.015,-9.25
498,7.96,1.92,-8.75
479,7.97,1.83,-8.5
460,7.98,1.745,-8.5
440,7.99,1.66,-8.25
421,8,1.575,-8
403,8.01,1.495,-7.75
384,8.02,1.415,-7.25
366,8.03,1.34,-7
349,8.04,1.27,-6.75
332,8.05,1.2,-6.25
315,8.06,1.135,-6
299,8.07,1.075,-5.75
283,8.08,1.015,-5.25
268,8.09,0.96,-4.75
254,8.1,0.91,-4.25
240,8.11,0.865,-4
227,8.12,0.825,-3.75
215,8.13,0.785,-3.25
203,8.14,0.75,-2.75
192,8.15,0.72,-2.25
182,8.16,0.695,-1.75
173,8.17,0.675,-1.5
165,8.18,0.66,-1
157,8.19,0.645,-0.5
150,8.2,0.64,0
144,8.21,0.635,0.5
139,8.22,0.64,0.75
135,8.23,0.645,1.25
132,8.24,0.655,1.75
129,8.25,0.67,2
128,8.26,0.69,2.25
127,8.27,0.71,2.75
128,8.28,0.735,3.25
129,8.29,0.765,3.75
131,8.3,0.8,4.25
134,8.31,0.84,4.5
138,8.32,0.885,4.75
142,8.33,0.93,4.5
147,8.34,0.98,4.75
153,8.35,1.02,5.75
160,8.36,1.075,6.25
168,8.37,1.135,6.5
177,8.38,1.2,6.5
186,8.39,1.265,7
196,8.4,1.33,7.25
204,8.41,1.405,7.25
215,8.42,1.475,7.75
227,8.43,1.55,8
240,8.44,1.63,8
253,8.45,1.71,8.25
266,8.46,1.79,8.5
281,8.47,1.875,8.5
295,8.48,1.96,8.5
310,8.49,2.045,8.5
326,8.5,2.13,8.75
342,8.51,2.215,8.75
358,8.52,2.305,8.75
375,8.53,2.39,8.75
392,8.54,2.48,8.5
409,8.55,2.565,8.5
426,8.56,2.65,8.5
443,8.57,2.735,8.25
461,8.58,2.82,8.25
478,8.59,2.9,8.25
496,8.6,2.985,7.75
513,8.61,3.065,7.5
530,8.62,3.14,7.5
547,8.63,3.215,7.5
564,8.64,3.29,7.25
580,8.65,3.365,6.75
597,8.66,3.435,6.5
613,8.67,3.5,6.25
628,8.68,3.565,6
643,8.69,3.625,5.75
658,8.7,3.685,5.5
673,8.71,3.74,5
687,8.72,3.795,4.75
700,8.73,3.84,4.5
713,8.74,3.89,4
725,8.75,3.93,3.75
737,8.76,3.97,3.25
748,8.77,4.005,3
759,8.78,4.035,2.75
768,8.79,4.065,2.25
778,8.8,4.09,1.75
786,8.81,4.11,1.5
794,8.82,4.125,1.25
801,8.83,4.14,0.75
807,8.84,4.15,0.25
813,8.85,4.155,0
818,8.86,4.155,-0.5
822,8.87,4.155,-1
825,8.88,4.145,-1
828,8.89,4.135,-1.5
830,8.9,4.125,-2
831,8.91,4.105,-2.25
831,8.92,4.085,-2.5
831,8.93,4.06,-2.75
829,8.94,4.035,-3.25
827,8.95,4.005,-3.5
825,8.96,3.97,-3.75
821,8.97,3.935,-4.25
817,8.98,3.895,-4.5
812,8.99,3.85,-4.75
807,9,3.805,-5
801,9.01,3.755,-5.25
794,9.02,3.705,-5.5
787,9.03,3.65,-5.75
779,9.04,3.595,-6
770,9.05,3.535,-6.25
761,9.06,3.475,-6.25
751,9.07,3.41,-6.5
741,9.08,3.35,-6.75
730,9.09,3.28,-6
719,9.1,3.215,-6.25
707,9.11,3.16,-7.25
695,9.12,3.09,-7.25
682,9.13,3.015,-7.25
670,9.14,2.945,-7.25
656,9.15,2.87,-7.25
643,9.16,2.8,-7.5
632,9.17,2.725,-7.5
618,9.18,2.65,-7.5
603,9.19,2.575,-7.5
589,9.2,2.5,-7.5
574,9.21,2.425,-7.5
560,9.22,2.35,-7.25
545,9.23,2.275,-7.25
530,9.24,2.205,-7.25
515,9.25,2.13,-7
500,9.26,2.06,-6.75
485,9.27,1.99,-6.75
470,9.28,1.925,-6.75
455,9.29,1.855,-6.25
441,9.3,1.79,-6
426,9.31,1.73,-6
412,9.32,1.67,-5.75
398,9.33,1.61,-5.25
385,9.34,1.555,-5
371,9.35,1.505,-5
358,9.36,1.455,-4.75
346,9.37,1.405,-4.25
334,9.38,1.36,-4
322,9.39,1.32,-3.75
311,9.4,1.28,-3.25
301,9.41,1.245,-3
291,9.42,1.215,-2.75
281,9.43,1.185,-2.5
272,9.44,1.16,-2
264,9.45,1.135,-1.5
256,9.46,1.12,-1.25
249,9.47,1.105,-1
243,9.48,1.095,-0.75
237,9.49,1.085,-0.25
232,9.5,1.08,0.25
227,9.51,1.08,0.5
224,9.52,1.085,0.75
221,9.53,1.09,1.25
219,9.54,1.1,1.5
217,9.55,1.115,2
216,9.56,1.13,2.25
216,9.57,1.155,2.25
217,9.58,1.175,2.75
218,9.59,1.2,3
220,9.6,1.23,3.25
223,9.61,1.26,3.75
226,9.62,1.295,4
231,9.63,1.335,4.25
235,9.64,1.375,4.5
240,9.65,1.42,4.75
246,9.66,1.465,5
252,9.67,1.515,5.25
259,9.68,1.565,5.5
267,9.69,1.62,5.5
275,9.7,1.675,5.75
